season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,count
4,0,11,19,0,1,1,1,0.54,0.5152,0.73,0.2239,264
4,1,11,23,0,2,1,1,0.26,0.2273,0.56,0.2985,84
2,1,4,19,0,4,1,1,0.48,0.4697,0.31,0.2537,487
4,1,12,15,0,1,1,1,0.6,0.6212,0.56,0,268
4,0,12,6,0,6,0,2,0.26,0.2424,0.56,0.2836,17
3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0,7
2,1,5,1,0,6,0,1,0.64,0.5758,0.83,0.1343,82
1,1,2,22,0,0,0,3,0.24,0.2576,0.75,0.0896,55
2,1,5,15,0,6,0,1,0.76,0.7273,0.66,0.2836,513
3,0,8,16,0,0,0,1,0.72,0.697,0.79,0.1642,258
1,0,3,6,0,3,1,1,0.22,0.2121,0.55,0.2537,40
3,1,6,13,0,0,0,1,0.8,0.697,0.33,0.2836,585
1,1,3,10,0,4,1,1,0.5,0.4848,0.68,0.4627,138
2,1,6,1,0,5,1,1,0.64,0.6212,0.53,0.2239,34
2,0,4,10,0,2,1,3,0.5,0.4848,0.82,0.4179,40
2,0,4,10,0,6,0,3,0.42,0.4242,0.94,0.3881,22
3,0,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,6
4,1,9,8,0,1,1,1,0.5,0.4848,0.55,0.194,750
1,1,2,10,0,3,1,1,0.34,0.3485,0.71,0.0896,139
1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68
2,0,5,15,0,5,1,2,0.6,0.6212,0.56,0.194,242
2,0,3,0,0,5,1,1,0.24,0.2273,0.6,0.194,18
4,0,12,23,0,3,1,1,0.24,0.2121,0.93,0.3881,16
4,0,11,5,0,0,0,1,0.24,0.2424,0.87,0.1343,5
4,0,10,18,0,6,0,3,0.22,0.197,0.93,0.3284,43
1,1,12,1,0,5,1,1,0.24,0.2273,0.6,0.194,9
1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,68
2,1,5,4,0,6,0,1,0.44,0.4394,0.67,0.1045,9
2,1,5,15,0,6,0,3,0.66,0.6212,0.74,0.194,541
4,1,11,9,0,6,0,2,0.26,0.2121,0.41,0.4478,122
1,0,12,16,0,2,1,3,0.44,0.4394,0.88,0.3284,46
4,1,12,4,0,6,0,2,0.24,0.2576,0.87,0.1045,6
2,1,6,19,0,3,1,1,0.56,0.5303,0.73,0.2985,538
3,0,8,8,0,5,1,1,0.68,0.6364,0.39,0.2239,426
4,1,10,13,0,5,1,1,0.62,0.5909,0.73,0.2239,375
1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,16
2,1,4,23,0,3,1,2,0.42,0.4242,0.77,0,70
3,0,7,20,0,0,0,1,0.76,0.7121,0.58,0.2537,262
2,0,3,11,0,4,1,3,0.28,0.2727,0.93,0.194,58
3,1,8,20,0,0,0,1,0.72,0.6515,0.45,0,300
2,1,4,18,0,0,0,3,0.36,0.3182,0.93,0.4478,39
4,0,12,18,0,2,1,2,0.46,0.4545,1,0.2836,304
2,0,6,22,0,1,1,2,0.64,0.6061,0.73,0.2239,130
2,0,4,8,0,5,1,3,0.34,0.3333,0.87,0.1642,221
3,0,6,1,0,2,1,1,0.66,0.6212,0.74,0,13
2,0,4,14,0,6,0,1,0.54,0.5152,0.39,0.2239,452
4,1,11,11,0,0,0,1,0.38,0.3939,0.46,0.2239,445
1,1,2,4,0,2,1,2,0.3,0.3333,0.7,0,3
4,0,9,14,0,5,1,3,0.6,0.5,1,0.0896,24
1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
2,1,5,23,0,3,1,2,0.5,0.4848,0.77,0.2537,98
2,1,5,20,0,0,0,1,0.6,0.6061,0.64,0.194,276
2,0,5,11,0,2,1,1,0.74,0.6667,0.51,0.2239,175
1,1,1,22,0,5,1,2,0.2,0.197,0.37,0.2239,72
4,0,11,15,0,2,1,3,0.4,0.4091,0.87,0.3284,65
3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,394
4,0,10,23,0,0,0,1,0.56,0.5303,0.52,0.4179,62
4,1,10,15,0,3,1,2,0.58,0.5455,0.43,0.2239,301
3,1,7,8,0,2,1,1,0.72,0.697,0.74,0.1343,649
1,0,1,11,0,1,1,2,0.16,0.1515,0.59,0.194,48
3,1,7,12,0,1,1,1,0.84,0.7273,0.32,0.194,257
4,1,12,20,0,0,0,3,0.36,0.3636,1,0.0896,108
2,1,3,19,0,3,1,1,0.6,0.6061,0.64,0,582
4,1,10,12,0,5,1,2,0.58,0.5455,0.73,0.194,392
3,1,8,7,0,3,1,1,0.64,0.6061,0.65,0.0896,554
2,0,5,15,0,4,1,1,0.56,0.5303,0.78,0.1642,188
2,0,5,12,0,4,1,2,0.58,0.5455,0.78,0.1045,168
3,1,9,23,0,4,1,1,0.54,0.5152,0.68,0.1045,154
4,1,11,2,0,4,1,2,0.3,0.2879,0.49,0.2239,6
1,1,1,2,0,2,1,2,0.22,0.2273,0.87,0.1642,4
2,0,5,2,0,6,0,2,0.5,0.4848,0.88,0.1343,52
3,1,9,8,0,5,1,2,0.6,0.5758,0.78,0.1642,766
3,1,6,1,0,1,1,1,0.7,0.6515,0.65,0.2239,31
4,0,11,8,0,0,0,1,0.4,0.4091,0.82,0.2985,42
3,1,6,3,0,6,0,2,0.64,0.5758,0.83,0.0896,42
4,1,11,11,0,2,1,3,0.3,0.2727,0.87,0.2985,65
3,0,8,9,0,4,1,2,0.72,0.6818,0.7,0.2985,162
2,0,5,10,0,3,1,2,0.34,0.3182,0.93,0.2836,31
2,1,6,13,0,0,0,1,0.64,0.6212,0.53,0.1642,614
3,0,6,4,0,0,0,1,0.6,0.6061,0.64,0.0896,11
3,1,9,19,0,2,1,1,0.62,0.6212,0.41,0.194,596
3,1,7,16,0,1,1,1,0.82,0.7727,0.52,0.1343,457
4,1,11,22,0,4,1,1,0.36,0.3485,0.57,0.1642,202
1,0,3,20,0,4,1,1,0.42,0.4242,0.67,0.2239,137
1,0,2,14,0,2,1,2,0.22,0.2576,0.8,0.0896,54
4,0,11,14,0,0,0,1,0.46,0.4545,0.55,0.194,320
4,0,11,20,0,6,0,1,0.42,0.4242,0.5,0.2836,132
2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,4
2,0,5,4,0,2,1,1,0.66,0.6061,0.83,0.0896,3
3,1,9,4,0,6,0,2,0.66,0.5909,0.94,0.2239,11
4,1,11,12,1,1,0,1,0.56,0.5303,0.64,0.2239,419
3,0,7,0,0,0,0,1,0.76,0.697,0.55,0.0896,113
3,0,7,20,0,6,0,1,0.72,0.6667,0.51,0.2239,296
2,1,5,0,0,5,1,1,0.52,0.5,0.59,0.1045,70
1,1,2,11,0,4,1,1,0.48,0.4697,0.48,0.2836,182
2,1,3,10,0,2,1,1,0.26,0.2576,0.35,0.2239,138
4,1,10,3,0,5,1,2,0.56,0.5303,0.83,0,5
2,0,4,0,0,4,1,1,0.46,0.4545,0.41,0.2836,20
1,1,2,0,0,2,1,1,0.26,0.303,0.65,0,12
1,1,2,18,0,5,1,1,0.38,0.3939,0.4,0.1343,385
2,1,5,16,0,2,1,1,0.68,0.6364,0.65,0.1642,374
3,0,8,20,0,3,1,1,0.72,0.6667,0.58,0.2985,334
2,1,3,5,0,3,1,1,0.36,0.3333,0.43,0.2985,40
2,1,4,4,0,6,0,1,0.5,0.4848,0.82,0.2537,9
1,1,3,12,0,6,0,1,0.56,0.5303,0.68,0.1642,651
3,0,9,4,0,4,1,2,0.6,0.5152,0.94,0.0896,2
2,0,6,14,0,6,0,1,0.82,0.7727,0.49,0.1045,380
2,1,5,15,0,1,1,2,0.62,0.5909,0.73,0.1642,196
3,0,8,3,0,6,0,2,0.66,0.6061,0.78,0.1642,42
3,0,6,7,0,3,1,1,0.7,0.6667,0.79,0,311
2,1,6,14,0,4,1,1,0.72,0.6515,0.37,0.2537,265
4,0,12,0,0,2,1,1,0.22,0.2727,0.8,0,17
1,0,3,11,0,0,0,1,0.34,0.3485,0.39,0.1045,203
4,0,11,12,1,5,0,1,0.34,0.2879,0.42,0.4627,239
3,1,7,8,0,5,1,1,0.8,0.7121,0.41,0.1642,585
4,1,10,18,0,5,1,1,0.44,0.4394,0.38,0.2985,642
1,1,3,6,0,5,1,1,0.3,0.3333,0.7,0,92
4,0,11,6,0,5,1,1,0.22,0.2576,0.44,0.0896,71
3,1,7,2,0,3,1,1,0.74,0.697,0.66,0.1343,8
3,0,8,16,0,1,1,1,0.72,0.6515,0.42,0.1642,282
2,1,3,20,0,5,1,1,0.4,0.4091,0.62,0.1642,209
3,1,7,18,1,3,0,1,0.9,0.8485,0.42,0.194,430
2,1,6,13,0,6,0,1,0.82,0.697,0.24,0.2836,585
4,0,12,15,0,4,1,3,0.52,0.5,0.55,0.2239,82
3,0,6,6,0,4,1,1,0.6,0.6061,0.64,0.2537,123
4,0,10,6,0,4,1,1,0.4,0.4091,0.66,0.194,114
4,0,11,6,0,4,1,1,0.34,0.3333,0.76,0.194,99
1,1,2,16,0,5,1,1,0.42,0.4242,0.32,0.2985,307
1,0,3,22,0,3,1,2,0.4,0.4091,0.62,0.3881,59
2,1,6,17,0,4,1,1,0.72,0.6667,0.48,0.2239,867
3,1,9,7,0,2,1,1,0.5,0.4848,0.72,0.1045,596
1,1,2,6,0,2,1,1,0.2,0.2576,0.75,0,86
2,1,4,0,0,2,1,1,0.4,0.4091,0.43,0.1343,33
4,0,9,15,0,5,1,1,0.64,0.6212,0.5,0.2836,245
2,0,6,13,0,1,1,1,0.64,0.6061,0.65,0.1045,179
1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,39
4,0,12,2,0,0,0,1,0.22,0.2424,0.55,0.1045,41
1,1,2,21,0,4,1,1,0.3,0.3182,0.52,0.0896,177
4,0,10,10,0,5,1,1,0.46,0.4545,0.51,0.1642,138
2,1,4,17,0,4,1,1,0.54,0.5152,0.77,0.1642,614
4,1,10,21,0,3,1,1,0.46,0.4545,0.82,0.194,329
2,1,5,23,1,1,0,1,0.72,0.697,0.74,0.1642,82
1,0,3,19,0,4,1,1,0.44,0.4394,0.58,0.194,207
3,0,8,13,0,6,0,1,0.76,0.697,0.55,0.1343,378
4,0,12,8,0,3,1,2,0.26,0.303,0.87,0,467
3,1,9,18,0,5,1,1,0.76,0.7121,0.62,0.2985,792
1,1,3,13,0,3,1,1,0.5,0.4848,0.34,0.4179,205
1,0,2,19,0,6,0,1,0.32,0.303,0.49,0.2537,94
2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,120
1,0,3,19,0,1,1,1,0.36,0.3485,0.43,0.1343,150
4,1,10,4,0,5,1,1,0.36,0.3636,0.76,0.1045,8
3,1,9,19,0,6,0,1,0.7,0.6515,0.58,0.194,407
1,0,1,4,1,1,0,2,0.18,0.197,0.43,0.1343,3
1,1,3,14,0,5,1,1,0.42,0.4242,0.28,0.4627,178
2,0,4,10,0,5,1,1,0.56,0.5303,0.4,0.2836,156
3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.4179,236
2,0,4,16,0,1,1,1,0.6,0.6212,0.46,0.2836,205
1,1,1,20,0,2,1,1,0.4,0.4091,0.58,0.1045,238
4,1,12,16,0,3,1,2,0.34,0.3333,0.46,0.1343,329
1,0,2,11,0,1,1,1,0.52,0.5,0.23,0.2537,53
4,0,9,9,0,1,1,2,0.64,0.5758,0.89,0.194,205
4,1,11,6,0,3,1,1,0.24,0.2273,0.65,0.194,146
4,0,10,4,0,0,0,2,0.34,0.3182,0.87,0.2537,7
4,0,12,12,0,3,1,2,0.36,0.3636,0.57,0.0896,144
4,1,11,8,0,3,1,1,0.28,0.2576,0.56,0.2985,691
2,0,4,6,0,5,1,2,0.34,0.3636,0.87,0,35
3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,62
2,1,4,22,0,5,1,1,0.4,0.4091,0.35,0.2239,158
1,1,2,8,0,3,1,2,0.24,0.2273,0.7,0.2239,508
3,1,9,15,0,0,0,3,0.74,0.7121,0.74,0.1343,355
1,1,3,3,0,5,1,1,0.46,0.4545,0.77,0.5224,7
3,0,8,6,0,5,1,1,0.62,0.5606,0.88,0,105
2,1,4,7,0,4,1,1,0.3,0.2727,0.65,0.3284,306
3,1,7,4,0,4,1,1,0.66,0.6212,0.74,0.194,4
2,0,3,13,0,3,1,3,0.34,0.3333,0.87,0.1343,108
1,0,3,2,0,2,1,1,0.3,0.303,0.62,0.0896,3
1,1,2,5,0,4,1,2,0.3,0.3333,0.7,0,20
1,1,12,2,0,5,1,3,0.46,0.4545,0.94,0.3881,3
1,0,3,1,0,6,0,2,0.58,0.5455,0.46,0.3582,51
4,1,10,17,0,1,1,1,0.62,0.6212,0.33,0.1045,922
3,0,8,7,0,4,1,1,0.64,0.5909,0.78,0.2985,308
3,1,7,18,0,2,1,1,0.76,0.697,0.55,0.2836,857
3,0,8,20,0,4,1,1,0.66,0.6061,0.83,0.1045,165
4,0,12,12,0,2,1,3,0.46,0.4545,1,0.2239,55
2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896,448
4,1,9,10,0,4,1,2,0.7,0.6515,0.51,0.2836,208
2,0,5,12,0,1,1,1,0.6,0.6212,0.43,0.194,195
4,1,11,20,0,0,0,1,0.36,0.3485,0.66,0.1642,129
3,1,8,7,0,4,1,2,0.62,0.5758,0.83,0.0896,481
1,1,12,2,0,0,0,1,0.2,0.2121,0.51,0.1642,18
3,0,8,23,0,3,1,1,0.6,0.5758,0.78,0.1045,84
4,1,11,6,0,5,1,1,0.26,0.2727,0.65,0.1045,131
3,0,8,21,0,4,1,1,0.64,0.5909,0.78,0.2836,187
4,1,10,7,0,6,0,1,0.54,0.5152,0.83,0.2985,84
2,0,6,3,0,3,1,1,0.5,0.4848,0.68,0.2537,1
2,0,6,16,0,1,1,1,0.76,0.6667,0.33,0.1343,267
4,1,10,13,0,4,1,1,0.62,0.6212,0.53,0.3582,332
1,1,12,1,0,0,0,1,0.22,0.2273,0.47,0.194,20
3,1,8,5,0,6,0,2,0.64,0.6061,0.73,0.1642,14
2,0,5,22,0,3,1,1,0.38,0.3939,0.62,0.2239,89
1,1,2,15,0,6,0,1,0.42,0.4242,0.41,0.2537,499
4,1,10,0,0,5,1,1,0.56,0.5303,0.73,0,102
1,0,3,2,0,2,1,1,0.24,0.2424,0.52,0.1343,1
1,0,12,10,0,5,1,1,0.3,0.2879,0.65,0.2537,118
2,0,4,9,0,6,0,2,0.34,0.3485,0.87,0.1045,98
2,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,436
1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,267
1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
2,0,3,22,0,1,1,1,0.3,0.2879,0.22,0.2239,40
3,0,8,20,0,6,0,1,0.74,0.6818,0.62,0.2239,248
4,1,10,0,0,4,1,3,0.64,0.5758,0.89,0,76
2,1,3,7,0,4,1,1,0.46,0.4545,0.51,0.3582,367
1,1,3,2,0,5,1,3,0.48,0.4697,0.77,0.4179,11
3,0,8,14,0,1,1,1,0.74,0.6818,0.55,0.0896,151
4,1,9,7,0,2,1,1,0.44,0.4394,0.77,0.194,556
2,1,6,8,0,1,1,2,0.54,0.5152,0.83,0.194,474
3,0,7,4,0,6,0,1,0.64,0.5758,0.83,0.2239,6
4,0,12,6,0,2,1,1,0.2,0.2576,0.8,0,92
1,1,3,17,0,5,1,1,0.46,0.4545,0.24,0.3881,566
3,1,7,11,1,3,0,1,0.82,0.7576,0.46,0.1343,485
4,1,11,2,0,1,1,2,0.36,0.3333,0.66,0.2537,5
2,0,5,5,0,2,1,1,0.52,0.5,0.88,0.1343,14
1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,223
3,0,7,19,0,5,1,2,0.86,0.7879,0.41,0.1045,250
1,1,2,22,0,6,0,1,0.4,0.4091,0.4,0.4478,118
4,0,11,12,0,3,1,1,0.48,0.4697,0.55,0.4179,160
2,1,4,13,0,2,1,1,0.5,0.4848,0.29,0.3881,224
1,1,1,22,0,1,1,1,0.28,0.2727,0.48,0.2239,94
3,0,7,8,0,6,0,1,0.7,0.6515,0.7,0.2537,182
4,0,12,9,0,5,1,1,0.28,0.3182,0.81,0,246
3,1,9,15,0,3,1,1,0.78,0.7727,0.7,0.194,245
3,0,8,15,0,0,0,1,0.74,0.697,0.66,0.194,331
4,1,12,15,0,6,0,1,0.42,0.4242,0.47,0,447
1,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,182
3,0,9,16,0,3,1,1,0.76,0.697,0.52,0.2836,277
1,1,2,19,0,6,0,2,0.2,0.1515,0.4,0.5522,87
1,0,1,19,0,4,1,1,0.26,0.2273,0.56,0.3284,152
4,0,10,4,0,4,1,2,0.54,0.5152,1,0.1045,7
3,1,9,17,0,6,0,2,0.82,0.7727,0.52,0,463
4,1,11,23,0,0,0,1,0.22,0.2576,0.69,0.0896,41
1,0,2,20,0,5,1,2,0.24,0.2424,0.65,0.1642,71
4,0,11,0,0,1,1,2,0.46,0.4545,0.94,0,17
3,1,6,16,0,5,1,1,0.96,0.9091,0.36,0,351
2,1,4,2,0,1,1,1,0.46,0.4545,0.31,0.194,6
3,1,6,3,0,0,0,2,0.66,0.6212,0.65,0.0896,60
1,1,12,11,0,6,0,1,0.28,0.2576,0.41,0.3582,159
3,0,9,20,0,2,1,3,0.54,0.5152,0.88,0.2985,163
3,1,7,5,0,0,0,1,0.68,0.6364,0.89,0.1343,9
1,1,2,16,0,3,1,1,0.6,0.6212,0.4,0.2239,283
3,1,9,15,0,6,0,2,0.68,0.6364,0.34,0.2836,654
4,1,10,17,1,1,0,2,0.42,0.4242,0.66,0.2537,497
2,0,5,12,0,1,1,1,0.62,0.6061,0.69,0.2239,187
2,0,6,4,0,6,0,1,0.6,0.5455,0.88,0.0896,5
3,0,9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,531
1,0,2,3,0,0,0,1,0.26,0.2879,0.6,0.0896,13
4,1,11,23,0,5,1,1,0.42,0.4242,0.38,0.4478,67
2,0,5,18,0,1,1,3,0.58,0.5455,0.83,0.194,453
4,1,11,10,0,0,0,1,0.24,0.2273,0.48,0.2537,139
3,1,8,2,0,5,1,1,0.7,0.6667,0.74,0.1642,20
4,0,9,2,0,2,1,1,0.62,0.5455,0.94,0.1045,11
4,1,11,17,0,0,0,1,0.28,0.2727,0.41,0.1642,181
2,1,4,6,0,0,0,1,0.5,0.4848,0.63,0.1343,16
4,0,10,19,0,4,1,1,0.52,0.5,0.59,0.1045,343
4,0,10,23,0,6,0,1,0.22,0.2273,0.87,0.194,36
4,1,9,9,0,4,1,1,0.66,0.6212,0.65,0,335
2,1,6,8,0,2,1,2,0.62,0.5606,0.88,0.2239,613
3,0,8,12,0,3,1,1,0.74,0.6667,0.43,0.1343,260
3,0,9,0,0,4,1,3,0.6,0.5,1,0.194,14
3,0,8,14,0,2,1,1,0.74,0.6515,0.33,0.1642,209
2,1,6,9,0,3,1,2,0.64,0.6061,0.69,0.5821,352
3,0,7,21,0,6,0,1,0.74,0.6667,0.48,0.194,232
2,0,4,22,0,6,0,1,0.32,0.303,0.61,0.2985,55
3,1,9,14,0,5,1,1,0.8,0.7727,0.59,0.2537,253
2,1,5,2,0,2,1,2,0.5,0.4848,0.72,0.0896,8
3,1,9,18,0,2,1,1,0.64,0.6212,0.36,0.1642,877
3,0,8,11,0,3,1,1,0.72,0.6667,0.54,0.2985,185
2,0,4,6,0,3,1,1,0.24,0.2576,0.7,0.1045,56
3,1,7,14,0,1,1,1,0.86,0.7576,0.34,0.2239,230
4,0,9,16,0,6,0,2,0.64,0.5909,0.78,0.0896,449
2,1,5,3,0,6,0,1,0.5,0.4848,0.48,0.1045,33
2,0,5,19,0,5,1,1,0.58,0.5455,0.64,0.0896,302
1,1,1,12,0,2,1,1,0.4,0.4091,0.43,0.2985,194
1,1,1,16,0,0,0,1,0.22,0.2121,0.29,0.2985,205
1,1,3,19,0,1,1,2,0.56,0.5303,0.49,0.2239,446
3,1,8,0,0,3,1,1,0.7,0.6515,0.61,0.194,60
4,1,11,7,1,1,0,1,0.4,0.4091,0.87,0,264
1,1,3,14,0,2,1,1,0.32,0.303,0.36,0.2239,136
2,0,6,7,0,1,1,3,0.56,0.5303,0.88,0.194,46
2,0,4,15,0,1,1,1,0.74,0.6667,0.48,0.5224,141
3,0,6,14,0,5,1,1,0.78,0.697,0.43,0.2836,229
1,0,3,12,0,3,1,2,0.32,0.303,0.76,0.2537,98
4,1,12,0,0,0,0,2,0.3,0.3182,0.87,0.0896,117
3,0,7,4,0,6,0,1,0.76,0.7273,0.66,0.1045,9
1,0,1,7,0,1,1,2,0.16,0.1364,0.64,0.2836,72
3,0,6,21,0,0,0,2,0.7,0.6515,0.54,0.1045,183
4,0,12,20,0,6,0,1,0.22,0.2121,0.69,0.2537,106
4,0,9,15,0,1,1,1,0.72,0.6818,0.62,0.1343,209
1,0,12,1,0,6,0,2,0.32,0.3485,0.66,0,16
2,1,4,13,0,3,1,2,0.4,0.4091,0.4,0.3582,163
4,1,12,4,0,4,1,1,0.22,0.2121,0.55,0.2985,9
3,1,9,10,0,4,1,3,0.66,0.5909,0.94,0.1343,49
1,1,2,2,0,5,1,1,0.3,0.2879,0.52,0.2239,6
1,0,1,23,0,4,1,2,0.24,0.2121,0.65,0.3284,31
1,0,2,22,0,4,1,1,0.18,0.2121,0.51,0.0896,41
3,1,6,23,0,4,1,1,0.74,0.6667,0.48,0.1343,171
1,1,1,17,0,4,1,2,0.26,0.2273,0.44,0.3284,385
4,1,12,20,0,4,1,2,0.24,0.2576,0.6,0.1045,227
3,0,8,10,0,3,1,1,0.76,0.6818,0.43,0.0896,118
4,0,10,10,0,4,1,3,0.5,0.4848,0.88,0.194,62
1,1,3,2,0,4,1,2,0.46,0.4545,0.94,0.2836,6
1,0,3,21,0,0,0,2,0.34,0.3182,0.53,0.2836,49
3,0,9,5,0,2,1,3,0.54,0.5152,0.88,0.3582,21
1,1,12,10,0,3,1,3,0.2,0.1818,0.86,0.2985,8
4,1,11,19,0,2,1,1,0.32,0.2879,0.49,0.3582,356
4,1,10,23,0,3,1,2,0.58,0.5455,0.68,0.0896,123
4,0,12,0,0,6,0,1,0.3,0.2879,0.56,0.2537,75
4,0,11,7,0,3,1,1,0.26,0.2727,0.81,0.1045,285
1,0,3,8,0,2,1,1,0.2,0.1818,0.59,0.3881,214
2,1,6,18,0,2,1,1,0.6,0.6212,0.43,0.194,790
1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194,178
2,0,3,7,0,6,0,1,0.2,0.197,0.51,0.194,41
1,1,3,9,0,4,1,1,0.46,0.4545,0.72,0.4627,301
2,1,4,11,0,6,0,1,0.52,0.5,0.45,0.194,564
1,1,1,5,1,1,0,1,0.12,0.1667,0.54,0.0896,6
2,1,6,14,0,5,1,3,0.72,0.6818,0.66,0.2836,254
2,1,6,11,0,6,0,1,0.76,0.6667,0.35,0,569
2,0,5,21,0,0,0,1,0.54,0.5152,0.88,0,151
2,0,4,15,0,5,1,1,0.34,0.303,0.46,0.4179,111
2,1,5,23,0,1,1,2,0.58,0.5455,0.78,0.1045,75
1,1,2,4,0,6,0,1,0.26,0.303,0.7,0,7
3,0,8,6,0,1,1,1,0.66,0.6212,0.61,0.2985,112
3,1,9,11,0,3,1,1,0.6,0.6212,0.43,0.2537,247
1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
4,1,12,1,0,1,1,2,0.38,0.3939,0.87,0.1045,15
4,0,11,20,0,0,0,2,0.52,0.5,0.68,0.1045,113
3,0,6,15,0,1,1,2,0.74,0.6818,0.55,0,202
1,1,2,14,0,2,1,1,0.4,0.4091,0.4,0.2239,124
1,0,3,0,0,4,1,1,0.24,0.197,0.3,0.4627,13
3,0,9,8,0,5,1,1,0.42,0.4242,0.67,0.2239,409
3,1,7,4,0,0,0,1,0.6,0.5455,0.88,0,16
4,1,10,21,0,0,0,1,0.56,0.5303,0.73,0.4478,196
3,0,7,12,0,4,1,1,0.84,0.7727,0.41,0,171
2,0,4,10,0,6,0,2,0.36,0.3485,0.57,0.1642,154
2,1,5,20,0,0,0,1,0.66,0.6212,0.61,0.4179,274
4,1,12,20,0,6,0,2,0.36,0.3485,0.57,0.194,201
2,1,4,0,0,1,1,1,0.48,0.4697,0.39,0.2836,37
3,1,8,3,0,5,1,1,0.64,0.2424,0.65,0.1045,6
1,0,1,15,0,1,1,1,0.16,0.1667,0.4,0.1642,57
1,0,1,6,0,6,0,2,0.02,0.0303,0.44,0.2239,2
3,1,8,23,0,4,1,2,0.66,0.6212,0.69,0,157
2,0,6,13,0,5,1,1,0.84,0.7576,0.44,0.1045,189
4,0,10,14,0,0,0,3,0.36,0.3485,0.81,0.1642,256
1,1,12,13,0,5,1,2,0.32,0.2879,0.39,0.4179,240
1,1,12,0,1,2,0,3,0.24,0.2576,0.93,0.0896,13
3,0,7,14,0,6,0,1,0.92,0.8939,0.42,0,236
4,1,11,5,1,1,0,1,0.38,0.3939,0.87,0,24
4,0,11,18,0,2,1,1,0.48,0.4697,0.55,0.1343,462
3,1,7,19,0,0,0,1,0.78,0.7424,0.62,0.1642,250
1,0,2,21,0,3,1,1,0.36,0.3485,0.46,0.194,92
2,0,3,23,0,3,1,3,0.32,0.3333,0.9,0,26
3,1,7,4,0,6,0,1,0.7,0.6667,0.79,0.194,11
4,1,12,0,0,6,0,1,0.26,0.303,0.81,0,108
3,1,9,20,0,6,0,1,0.6,0.6212,0.43,0.0896,330
4,1,11,10,1,1,0,1,0.48,0.4697,0.77,0.1642,266
1,1,2,19,0,1,1,1,0.5,0.4848,0.29,0.3881,334
4,0,12,20,0,5,1,1,0.3,0.3333,0.81,0,150
1,1,1,8,0,6,0,1,0.2,0.2273,0.8,0.0896,91
2,1,3,16,0,0,0,1,0.48,0.4697,0.77,0,492
3,1,6,13,0,5,1,1,0.94,0.8788,0.38,0.194,239
1,0,1,20,0,4,1,2,0.26,0.2424,0.6,0.2836,126
4,0,12,14,0,3,1,2,0.38,0.3939,0.54,0.0896,151
4,1,12,3,0,3,1,1,0.26,0.2727,0.6,0.1343,10
2,1,6,1,0,4,1,1,0.6,0.6212,0.56,0.2239,21
2,1,4,3,0,2,1,1,0.38,0.3939,0.46,0,3
2,0,5,1,0,3,1,2,0.5,0.4848,0.59,0.1045,20
1,1,2,10,1,1,0,1,0.22,0.197,0.55,0.4478,143
2,0,6,11,0,3,1,2,0.82,0.803,0.59,0.2239,112
3,0,8,3,0,3,1,1,0.56,0.5303,0.78,0,6
3,0,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537,186
1,1,3,4,0,5,1,1,0.32,0.3485,0.61,0,2
1,1,2,5,0,6,0,3,0.22,0.2273,0.93,0.1642,2
3,1,9,6,0,6,0,1,0.54,0.5152,0.49,0.4179,33
4,1,9,21,0,1,1,1,0.5,0.4848,0.51,0.1343,256
2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,52
2,1,3,15,0,6,0,2,0.52,0.5,0.59,0.2836,605
1,1,1,2,0,2,1,1,0.3,0.2879,0.42,0.2239,2
3,1,7,9,0,0,0,2,0.66,0.6212,0.69,0,258
1,1,2,1,0,3,1,1,0.44,0.4394,0.41,0.2836,4
4,1,12,19,0,4,1,1,0.3,0.303,0.45,0.1642,348
4,1,9,9,0,0,0,1,0.5,0.4848,0.51,0.3284,276
2,1,3,11,0,1,1,1,0.48,0.4697,0.31,0.5821,178
4,1,11,5,0,2,1,2,0.22,0.2273,0.64,0.194,41
4,0,11,14,0,2,1,1,0.56,0.5303,0.46,0.1045,161
3,1,7,3,0,2,1,1,0.7,0.6515,0.65,0.1343,2
